,input_text_list,pos_extraction_list,collection_word_list,list_docs_retrived,prompt
12," @NileyLover09 Sister, I'm going to log out from twitter at the moment... However, I will still be available on YouTube... Farewell!",['available'],"['are', 'for', 'free', 'will']","[""@arvinmaruya She's MARRIED for crying out loud! She and her hubby stayed overnight with our class in Eden... She didn't go swimming... "", '@NileyLover09 Sis! I made a mistake in the picture!  I have to delete it... I have to add something in it...']","Paraphrase the following sentence without adding any other information: "" @NileyLover09 Sister, I'm going to log out from twitter at the moment... However, I will still be available on YouTube... Farewell!"" based on the user's previous tweets: ""[""@arvinmaruya She's MARRIED for crying out loud! She and her hubby stayed overnight with our class in Eden... She didn't go swimming... "", '@NileyLover09 Sis! I made a mistake in the picture!  I have to delete it... I have to add something in it...']""."
13," Hey @dumbbadoor, I miss you. Will I see you on Thursday? Also, yay for Pirates of the Caribbean!","['miss', 'Will', 'see']","['get', 'know', 'missed', 'Cant', 'Must', 'Was', 'What', 'will', 'know', 'you']","[""@yoitsbooty ) NICE. I want it. I'll get the pirated. ) I MISS YOU "", 'DAMN I MISSED MY 2700TH.  THAT WAS SUPPOSED TO BE FOR T1. My 2800th, 2900th and 3000th will all be for T1.']","Paraphrase the following sentence without adding any other information: "" Hey @dumbbadoor, I miss you. Will I see you on Thursday? Also, yay for Pirates of the Caribbean!"" based on the user's previous tweets: ""[""@yoitsbooty ) NICE. I want it. I'll get the pirated. ) I MISS YOU "", 'DAMN I MISSED MY 2700TH.  THAT WAS SUPPOSED TO BE FOR T1. My 2800th, 2900th and 3000th will all be for T1.']""."
14, I have a great suggestion: my class should go to the gun range for an end-of-year outing.,"['great', 'endofyear']","['good', 'have', 'kind', 'lot', 'too', 'waxyx', 'waxyxno']","['@t0mf remember its worth it when you know you have the girl you love standing beside you for the rest of your life ', '@Mig177 its what i say why!!!! k4ge last day at the job today  we wont be saying him around anymore ']","Paraphrase the following sentence without adding any other information: "" I have a great suggestion: my class should go to the gun range for an end-of-year outing."" based on the user's previous tweets: ""['@t0mf remember its worth it when you know you have the girl you love standing beside you for the rest of your life ', '@Mig177 its what i say why!!!! k4ge last day at the job today  we wont be saying him around anymore ']""."
15, MrMcShine has more than 700 tweets and more than 50 followers. The expression on his face is unspecified.,"['more', 'more', 'unspecified']","['bit', 'lot', 'more', 'than', 'too', 'bit', 'lot', 'more', 'than', 'too', 'any', 'kind', 'meant', 'same', 'weird']","[""@Miss_Grace Nope Amanda's had Botox, she's completely open about it, which I love! They're not making any more Wild At Heart either!! :O "", 'Good morning, tweeters -- school tommorow... These holidays have gone FAR too quickly!!! ']","Paraphrase the following sentence without adding any other information: "" MrMcShine has more than 700 tweets and more than 50 followers. The expression on his face is unspecified."" based on the user's previous tweets: ""[""@Miss_Grace Nope Amanda's had Botox, she's completely open about it, which I love! They're not making any more Wild At Heart either!! :O "", 'Good morning, tweeters -- school tommorow... These holidays have gone FAR too quickly!!! ']""."
16," @mimikatelouise, Tuesday is coming soon and time will pass quickly until then, putting us on a safer ground.","['is', 'coming', 'pass', 'putting']","['This', 'be', 'is', 'so', 'back', 'from', 'going', 'gone', 'get', 'through', 'turn', 'carrying', 'going', 'off', 'put']","['@Quaristice Re: Nolans the only thing that comes into my mind is &quot;why?&quot; ', '@Misspopov The worst thing is when someone decides they HAVE to take something and it needs washing just hours before you need to go ']","Paraphrase the following sentence without adding any other information: "" @mimikatelouise, Tuesday is coming soon and time will pass quickly until then, putting us on a safer ground."" based on the user's previous tweets: ""['@Quaristice Re: Nolans the only thing that comes into my mind is &quot;why?&quot; ', '@Misspopov The worst thing is when someone decides they HAVE to take something and it needs washing just hours before you need to go ']""."
17, Transform your beverage into a frozen dessert.,['frozen'],"['gone', 'hungry', 'still', 'water']","[""@rny_alison Yep I'm a NYer so apples, cider, pumpkins, leaves changing color, crisp nights. CA is still HOT in October "", '@meltingmama You must make them with the whippersnappers. They will heart it ']","Paraphrase the following sentence without adding any other information: "" Transform your beverage into a frozen dessert."" based on the user's previous tweets: ""[""@rny_alison Yep I'm a NYer so apples, cider, pumpkins, leaves changing color, crisp nights. CA is still HOT in October "", '@meltingmama You must make them with the whippersnappers. They will heart it ']""."
18," I can relate, this has occurred to me frequently.","['relate', 'has', 'occurred']","['how', 'know', 'like', 'might', 'already', 'had', 'have', 'is', 'gone', 'had', 'later', 'missed', 'which']","[""@AOutrageous ewwww there cheese makes me feel like i'm pregnant. LOL like it makes me nauseous  but there salads are my fav"", '@kpulla  I am seriously like passing out this damn red bull isnt doing much. ']","Paraphrase the following sentence without adding any other information: "" I can relate, this has occurred to me frequently."" based on the user's previous tweets: ""[""@AOutrageous ewwww there cheese makes me feel like i'm pregnant. LOL like it makes me nauseous  but there salads are my fav"", '@kpulla  I am seriously like passing out this damn red bull isnt doing much. ']""."
19," Hey Stella, have you seen Rob around? I need to go check on the Origin game. Do you think we're losing badly?","['have', 'seen', 'need', 'go', 'check', 'Do', 'think', 're', 'losing']","['already', 'had', 'have', 'need', 'already', 'gone', 'had', 'have', 'get', 'have', 'need', 'do', 'go', 'to', 'get', 'out', 'please', 'If', 'What', 'do', 'I', 'know', 'like', 'If', 'So', 'if', 'we', 'going', 'loss', 'win', 'without']","[""@stella_li Don't worry neither do I. I see a lot of @ and # and sometimes have no idea what's going on. "", ""@SaiyoukoSensei Outside would b nice but it's 10pm cold &amp; raining  &amp; is essay due tomorrow &amp; it's already overdue gonna have 2 suck it up""]","Paraphrase the following sentence without adding any other information: "" Hey Stella, have you seen Rob around? I need to go check on the Origin game. Do you think we're losing badly?"" based on the user's previous tweets: ""[""@stella_li Don't worry neither do I. I see a lot of @ and # and sometimes have no idea what's going on. "", ""@SaiyoukoSensei Outside would b nice but it's 10pm cold &amp; raining  &amp; is essay due tomorrow &amp; it's already overdue gonna have 2 suck it up""]""."
20, Thank you @kamla for introducing me to the 1941 version of Maltese Falcon. I will check it out the next time I am buying DVDs. Cheers.,"['Maltese', 'next']","['Lady', 'Singapore', 'favourite', 'prize', 'day', 'the', 'this']","[""@Spitphyre I know it was in March. Just wanted to register my attendance in your b' day wishes! Have a nice day ahead "", ""@cassialan @simblysouth @cutething Thanks for the follow! @cutething You've got a nice blog, Avni  Take care!""]","Paraphrase the following sentence without adding any other information: "" Thank you @kamla for introducing me to the 1941 version of Maltese Falcon. I will check it out the next time I am buying DVDs. Cheers."" based on the user's previous tweets: ""[""@Spitphyre I know it was in March. Just wanted to register my attendance in your b' day wishes! Have a nice day ahead "", ""@cassialan @simblysouth @cutething Thanks for the follow! @cutething You've got a nice blog, Avni  Take care!""]""."
21, @tommcfly Are you enjoying reading the Twilight series? I've read all the books and think they're amazing. Please answer and make me happy ❤️,['happy'],"['excited', 'good', 'lucky', 'sad']","['I have class tomorrow and tomorrow is Saturday, I hate having class Saturday  ', ""@dannymcfly you don't have to come back to england, you can stay here in brazil with us, we love you, haha ""]","Paraphrase the following sentence without adding any other information: "" @tommcfly Are you enjoying reading the Twilight series? I've read all the books and think they're amazing. Please answer and make me happy ❤️"" based on the user's previous tweets: ""['I have class tomorrow and tomorrow is Saturday, I hate having class Saturday  ', ""@dannymcfly you don't have to come back to england, you can stay here in brazil with us, we love you, haha ""]""."
22," Honorsociety, you always make me laugh. You appear adorable, not fatigued.",['adorable'],"['darn', 'excited', 'loving', 'sad']","[""@mitchelmusso 's Cd is out now in Iowa! Everybody who hasn't already pre-ordered in CST should be at the store waiting in line now! "", ""just looked  on amazon. it said @mitchelmusso 's album won't be arriving until june 5th!     SOBS""]","Paraphrase the following sentence without adding any other information: "" Honorsociety, you always make me laugh. You appear adorable, not fatigued."" based on the user's previous tweets: ""[""@mitchelmusso 's Cd is out now in Iowa! Everybody who hasn't already pre-ordered in CST should be at the store waiting in line now! "", ""just looked  on amazon. it said @mitchelmusso 's album won't be arriving until june 5th!     SOBS""]""."
23," @bronzeshiney stated that they zoomed in closely and are capable of multitasking, as indicated by their laughter.",['capable'],"['not', 'still', 'without']","[""@fhgrl33 Aw, love, *I* shouldn't remind you of BAD things ... well ... maybe bad/GOOD but not bad/BAD.  "", ""@abbafan69 I'm going to miss the PBPs and the live show Mon-Thurs next week.  I'm not happy about that.  ""]","Paraphrase the following sentence without adding any other information: "" @bronzeshiney stated that they zoomed in closely and are capable of multitasking, as indicated by their laughter."" based on the user's previous tweets: ""[""@fhgrl33 Aw, love, *I* shouldn't remind you of BAD things ... well ... maybe bad/GOOD but not bad/BAD.  "", ""@abbafan69 I'm going to miss the PBPs and the live show Mon-Thurs next week.  I'm not happy about that.  ""]""."
24," @GoDJewels, I am very shy and frightened, so I won't do it.",['shy'],"['bit', 'just', 'loving', 'too']","['Ugh, it was just nasty. WAAAAYYYYY too much tongue!! ', '@teebaby89 girl, not too much just sittin here looking for somethin to watch ']","Paraphrase the following sentence without adding any other information: "" @GoDJewels, I am very shy and frightened, so I won't do it."" based on the user's previous tweets: ""['Ugh, it was just nasty. WAAAAYYYYY too much tongue!! ', '@teebaby89 girl, not too much just sittin here looking for somethin to watch ']""."
25, The two things I love the most are Fuzzball and the Lakers.,"['love', 'are']","['cherish', 'know', 'like', 'loving', 'are', 'have', 'will']","['Some people like Fuzzball, others like Tonight Show   ', 'All I hear people talking about is Fuzzball and Adam Lambert   ']","Paraphrase the following sentence without adding any other information: "" The two things I love the most are Fuzzball and the Lakers."" based on the user's previous tweets: ""['Some people like Fuzzball, others like Tonight Show   ', 'All I hear people talking about is Fuzzball and Adam Lambert   ']""."
26," I'm eating one of Liz's cupcakes she left, do you want the plate back? They're okay, unlike last time when I had a burnt one. XXXX","['okay', 'last', 'burnt']","['anyway', 'but', 'just', 'yeah', 'day', 'half', 'this', 'time', 'gone', 'got', 'off', 'out', 'tired']","['crap.. fuck,, shit I LOST MY USBB!!!!!!!!!!!!!!!!!!! again this is the 7th time ...man .,,,technology hates me ', 'aww..... all time lows concert is today  ... so depresssed  ......................... in 1hr and a half ... starts at 12.30pm .*cryin*']","Paraphrase the following sentence without adding any other information: "" I'm eating one of Liz's cupcakes she left, do you want the plate back? They're okay, unlike last time when I had a burnt one. XXXX"" based on the user's previous tweets: ""['crap.. fuck,, shit I LOST MY USBB!!!!!!!!!!!!!!!!!!! again this is the 7th time ...man .,,,technology hates me ', 'aww..... all time lows concert is today  ... so depresssed  ......................... in 1hr and a half ... starts at 12.30pm .*cryin*']""."
27," @lowrobb, I'm confident that I have emerged victorious in this particular area.","['confident', 'victorious', 'particular']","['energetic', 'excited', 'going', 'good', 'again', 'cheer', 'trophy', 'win', 'any', 'kind', 'same', 'the', 'this']","[""@patvandiest but this is a good deed, it's a howto "", '@lonkay scratch that, I am going home right now  fooood here I come!']","Paraphrase the following sentence without adding any other information: "" @lowrobb, I'm confident that I have emerged victorious in this particular area."" based on the user's previous tweets: ""[""@patvandiest but this is a good deed, it's a howto "", '@lonkay scratch that, I am going home right now  fooood here I come!']""."
28," Manually entering game codes is taking a long time, but it will be worth it.",['long'],"['few', 'gone', 'time', 'too']","['Poor Cavs. Wah wah waaaaah. But one thing is sure this will be an amazing game! Go Magic! ', 'It feels SO good to take those heels off! Whew! Now off to some great food. Yaaaaaaay! ']","Paraphrase the following sentence without adding any other information: "" Manually entering game codes is taking a long time, but it will be worth it."" based on the user's previous tweets: ""['Poor Cavs. Wah wah waaaaah. But one thing is sure this will be an amazing game! Go Magic! ', 'It feels SO good to take those heels off! Whew! Now off to some great food. Yaaaaaaay! ']""."
29," Right now, Sarah and Zoe are also reading the book ""The Witches.""","['are', 'reading']","['are', 'have', 'will', 'bedtime', 'blogging', 'just', 'listening', 'this']","[""Time to go and have some one-on-one time with my daughter while the boys are out. I wonder what she'll want to do? Time to find out "", ""@Tarale Sometimes you feel better just having a plan, so it's good you've made a decision. ""]","Paraphrase the following sentence without adding any other information: "" Right now, Sarah and Zoe are also reading the book ""The Witches."""" based on the user's previous tweets: ""[""Time to go and have some one-on-one time with my daughter while the boys are out. I wonder what she'll want to do? Time to find out "", ""@Tarale Sometimes you feel better just having a plan, so it's good you've made a decision. ""]""."
30," @youngstud07 discovered it, included it, but it's still not accessible!",['accessible'],"['be', 'internet', 'via', 'yet']","[""I'm such an idiot! Thinking it was gonna be in the 60s and rainy I wore a sweater 2day. Its really gonna be 90 degrees....FML "", ""@dbuie o ok that's good! Don't be nervous! U will do fine ""]","Paraphrase the following sentence without adding any other information: "" @youngstud07 discovered it, included it, but it's still not accessible!"" based on the user's previous tweets: ""[""I'm such an idiot! Thinking it was gonna be in the 60s and rainy I wore a sweater 2day. Its really gonna be 90 degrees....FML "", ""@dbuie o ok that's good! Don't be nervous! U will do fine ""]""."
31, I enjoyed kissing a pig despite the swine flu.,"['enjoyed', 'kissing']","['excited', 'got', 'had', 'missed', 'wanted', 'bed', 'listening', 'loving', 'sleeping', 'weird']","['@yaseminx3 I cant wait eitherrr. 6 months is wayyy too long, and thats if we even get it the same time as the US, we didnt for Twilight ', '@Jonas_Dreamgirl Umm only one person can win the major prize, from any state, but 10 people can win the minor prize, only from NSW tho ']","Paraphrase the following sentence without adding any other information: "" I enjoyed kissing a pig despite the swine flu."" based on the user's previous tweets: ""['@yaseminx3 I cant wait eitherrr. 6 months is wayyy too long, and thats if we even get it the same time as the US, we didnt for Twilight ', '@Jonas_Dreamgirl Umm only one person can win the major prize, from any state, but 10 people can win the minor prize, only from NSW tho ']""."
32," @doodlebugdebz, I haven't received my allowance yet. @carlacharisse, next year, I'm going to pursue B.Ed. in the University of Auckland.",['next'],"['day', 'the', 'this']","[""@shandi_archie aww it's okay  .i live in Asia in case you're wondering.haha.btw, i love the rain too.since the weather here is so hot "", ""@carlacharisse it's a handmade bracelet by the Uganda children.and some stories about em.pretty sad ""]","Paraphrase the following sentence without adding any other information: "" @doodlebugdebz, I haven't received my allowance yet. @carlacharisse, next year, I'm going to pursue B.Ed. in the University of Auckland."" based on the user's previous tweets: ""[""@shandi_archie aww it's okay  .i live in Asia in case you're wondering.haha.btw, i love the rain too.since the weather here is so hot "", ""@carlacharisse it's a handmade bracelet by the Uganda children.and some stories about em.pretty sad ""]""."
33," Crafters, I have craft supplies for you. #craft","['have', 'craft']","['already', 'had', 'have', 'need', 'blogging', 'music', 'things', 'work']","['@LuvToSparkLe oh i hate it when that happens. i when i transfered universities i had a hell of a time transferring my credits! lost a few ', ""@mytweetspots oh duh! you said that. i can't watch anything at hulu. in canada. wont let me have access ""]","Paraphrase the following sentence without adding any other information: "" Crafters, I have craft supplies for you. #craft"" based on the user's previous tweets: ""['@LuvToSparkLe oh i hate it when that happens. i when i transfered universities i had a hell of a time transferring my credits! lost a few ', ""@mytweetspots oh duh! you said that. i can't watch anything at hulu. in canada. wont let me have access ""]""."
34," I apologize, I got distracted by a word in your message but realized it was just my imagination.","['apologize', 'got', 'distracted', 'realized', 'was']","['know', 'missed', 'oops', 'please', 'get', 'got', 'had', 'addicted', 'awake', 'missed', 'tired', 'too', 'got', 'had', 'meant', 'that', 'wanted', 'had', 'is', 'meant', 'wanted', 'would']","[""@ASOS_Tamara what's going on with those alarms? you still got builders in? they seem to be going off a lot "", ""@FrankAndFaith That's all I needed to hear  you'd think I'd have got over my nerves by now but still not ""]","Paraphrase the following sentence without adding any other information: "" I apologize, I got distracted by a word in your message but realized it was just my imagination."" based on the user's previous tweets: ""[""@ASOS_Tamara what's going on with those alarms? you still got builders in? they seem to be going off a lot "", ""@FrankAndFaith That's all I needed to hear  you'd think I'd have got over my nerves by now but still not ""]""."
35," @mommapurvis I'm down to hang out, but I'm not sure if I'll have enough money to drink. Lol","['down', 'sure', 'enough']","['back', 'into', 'off', 'out', 'through', 'know', 'make', 'not', 'good', 'need', 'not', 'too', 'yet']","[""@ginacena not in my part of TN it's not   it's still 11:35 here lol"", ""@tooshort55 it's not y'all's faults, it's not the guys...as Jordan said the situation was bigger than them ""]","Paraphrase the following sentence without adding any other information: "" @mommapurvis I'm down to hang out, but I'm not sure if I'll have enough money to drink. Lol"" based on the user's previous tweets: ""[""@ginacena not in my part of TN it's not   it's still 11:35 here lol"", ""@tooshort55 it's not y'all's faults, it's not the guys...as Jordan said the situation was bigger than them ""]""."
36," @onedavidnet, I am surprised that I have just discovered OneDavid, but you guys are amazing! I am willing to offer my help with any designing needs you may have.","['surprised', 'willing']","['excited', 'know', 'sad', 'going', 'need', 'not', 'would']","[""@do0dlebugdebz uuuu maybe u'll know which country u're gonna go to! "", ""@bill_archie  Haha yeah! aww the next part's gonna be pretty sad ""]","Paraphrase the following sentence without adding any other information: "" @onedavidnet, I am surprised that I have just discovered OneDavid, but you guys are amazing! I am willing to offer my help with any designing needs you may have."" based on the user's previous tweets: ""[""@do0dlebugdebz uuuu maybe u'll know which country u're gonna go to! "", ""@bill_archie  Haha yeah! aww the next part's gonna be pretty sad ""]""."
37," The song ""Whatcha Say"" by Jason Derulo is being played on repeat.","['is', 'being', 'played']","['This', 'be', 'is', 'so', 'are', 'going', 'not', 'games', 'gone', 'got', 'had', 'missed']","[""@Kriptic I Thought I Had It Bad,,. 10 Assignments For Tha 15th June,. : | Ain' Started 2 Though,. : | This Shit Sucks,. "", ""Am Up 127 Words,,. I Will Finish This Assignment Today &amp;&amp; My Unit 41 Assignment,,. I WILL,.. (Not),. Sun's Still Out So I'm Out,.! ""]","Paraphrase the following sentence without adding any other information: "" The song ""Whatcha Say"" by Jason Derulo is being played on repeat."" based on the user's previous tweets: ""[""@Kriptic I Thought I Had It Bad,,. 10 Assignments For Tha 15th June,. : | Ain' Started 2 Though,. : | This Shit Sucks,. "", ""Am Up 127 Words,,. I Will Finish This Assignment Today &amp;&amp; My Unit 41 Assignment,,. I WILL,.. (Not),. Sun's Still Out So I'm Out,.! ""]""."
38," Hi @backyardpoultry, good morning! I wish for you to have better weather today.","['good', 'better']","['darn', 'good', 'kind', 'lot', 'too', 'get', 'good', 'more', 'than']","[""- @libraritarian59 Oh no! @donutspy isn't a good link! "", ""@hwall1018 Twittermom just knew that ankle wasn't ready for class yet! (It sounds good anyway) Back to RICE huh. ""]","Paraphrase the following sentence without adding any other information: "" Hi @backyardpoultry, good morning! I wish for you to have better weather today."" based on the user's previous tweets: ""[""- @libraritarian59 Oh no! @donutspy isn't a good link! "", ""@hwall1018 Twittermom just knew that ankle wasn't ready for class yet! (It sounds good anyway) Back to RICE huh. ""]""."
39, Consuming spicy curry and potato wedges that are paired with a hot cup of tea.,['hot'],"['bright', 'darn', 'heavy', 'too', 'water']","[""Back from town and my Mac crashed on me  but it's better now"", 'Me and my little brother have to do 2papers runs tommoro becausec were releaving for some one. Gotta go to bed now.night every one. ']","Paraphrase the following sentence without adding any other information: "" Consuming spicy curry and potato wedges that are paired with a hot cup of tea."" based on the user's previous tweets: ""[""Back from town and my Mac crashed on me  but it's better now"", 'Me and my little brother have to do 2papers runs tommoro becausec were releaving for some one. Gotta go to bed now.night every one. ']""."
40," All the best tomorrow, dear @MarathonMaritza! I'll be keeping you in my thoughts.","['best', 'dear']","['all', 'favourite', 'get', 'good', 'Gosh', 'Oh', 'cherish']","['@anotorias sounds fun! We would have to get into some trouble together if I do come ', 'Thanks for all the #followfriday love everyone, too busy to return any. Hopefully tonight  Have a great day everyone ']","Paraphrase the following sentence without adding any other information: "" All the best tomorrow, dear @MarathonMaritza! I'll be keeping you in my thoughts."" based on the user's previous tweets: ""['@anotorias sounds fun! We would have to get into some trouble together if I do come ', 'Thanks for all the #followfriday love everyone, too busy to return any. Hopefully tonight  Have a great day everyone ']""."
41, I won't be traveling to Ireland anymore because I found out more about the trip and I don't want to go without Jenny for three months.,"['be', 'traveling', 'found', 'do', 'want', 'go']","['be', 'is', 'not', 'will', 'carrying', 'going', 'sleeping', 'train', 'got', 'had', 'have', 'wanted', 'do', 'go', 'know', 'know', 'need', 'wanna', 'you', 'do', 'go', 'to']","[""@FollowMandy HEY MANDYY! i hope u have a great photoshoot and i hope they take u many photos!  Can't wait to see them, i'm going to do"", '@kelliisking REALLY? i live theree!! u should come one day , so we could go SHOPPING haha, or something haha ']","Paraphrase the following sentence without adding any other information: "" I won't be traveling to Ireland anymore because I found out more about the trip and I don't want to go without Jenny for three months."" based on the user's previous tweets: ""[""@FollowMandy HEY MANDYY! i hope u have a great photoshoot and i hope they take u many photos!  Can't wait to see them, i'm going to do"", '@kelliisking REALLY? i live theree!! u should come one day , so we could go SHOPPING haha, or something haha ']""."
